,location,year,full_policy,expand,restrict,neutral,policy_id,num_id,rate_for_women,ratio_for_women,num_providers
21,Federal,2001,"Center for Reproductive Law and Policy v. Bush is a case in which the United States Court of Appeals for the Second Circuit upheld the Bush administration's re-imposition of the Mexico City policy, which states that ""the United States will no longer contribute to separate nongovernmental organizations which perform or actively promote abortion as a method of family planning in other nations"".",0.0,0.0,1.0,21.0,,,,
22,Federal,2003,"The Partial-Birth Abortion Ban Act is a United States law prohibiting a form of late-term abortion that it calls ""partial-birth abortion"", referred to in medical literature as intact dilation and extraction.",0.0,1.0,0.0,22.0,,,,
23,Federal,2006,"Ayotte v. Planned Parenthood of Northern New England is a case presided over by the Supreme Court involving a facial challenge to New Hampshire's parental notification abortion law. The First Circuit had ruled that the law was unconstitutional and an injunction against its enforcement was proper. The Supreme Court vacated this judgment and remanded the case, but avoided a substantive ruling on the challenged law or a reconsideration of prior Supreme Court abortion precedent; it only addressed the issue of remedy, holding that invalidating a statute in its entirety ""is not always necessary or justified, for lower courts may be able to render narrower declaratory and injunctive relief.""",0.0,0.0,1.0,23.0,,,,
24,Federal,2007,Gonzales v. Carhart is a Supreme Court case that upheld the Partial-Birth Abortion Ban Act of 2003.,0.0,0.0,0.0,24.0,,,,
25,Ohio,2013,"A law is signed in Ohio by Governor John Kasich, which mandates, among other things, that doctors who do not test for a fetal heartbeat when a patient seeks an abortion, tell the patient in writing if there is a heartbeat, and then tell them the statistical likelihood that the fetus could be carried to term, are subject to criminal penalties: ""The doctor's failure to do so would be a first-degree misdemeanor, carrying up to six months in jail, for the first violation and a fourth-degree felony, carrying up to 18 months in jail, for subsequent violations",0.0,0.0,0.0,25.0,,,,
26,New York,2016,The FACT Act of New York state made patients aware of state-sponsored services that are available at crisis pregnancy centers. The law goes into effect January 1,0.0,0.0,0.0,26.0,,,,
27,Kentucky,2016,"Box v. Planned Parenthood of Indiana and Kentucky, Inc. is a Supreme Court case dealing with the constitutionality of a 2016 anti-abortion law passed in the state of Indiana. Indiana's law sought to ban abortions performed solely on the basis of the fetus' gender, race, ethnicity, or disabilities. Lower courts had blocked enforcement of the law for violating a woman's right to abortion under privacy concerns within the Fourteenth Amendment, as previously found in Roe v. Wade and Planned Parenthood v. Casey. The lower courts also blocked enforcement of another portion of the law that required the disposal of aborted fetuses through burial or cremation. The per curiam decision by the Supreme Court overturned the injunction on the fetal disposal portion of the law, but otherwise did not challenge or confirm the lower courts' ruling on the non-discrimination clauses, leaving these in place",0.0,1.0,1.0,27.0,,,,
28,New York,2019,"New York state passes the Reproductive Health Act, which repealed a pre-Roe v. Wade provision that banned third-trimester abortions except in cases where the continuation of the pregnancy endangered a pregnant woman's life. The law said: ""The legislature finds that comprehensive reproductive health care, including contraception and abortion, is a fundamental component of a woman's health, privacy, and equality."" The bill also allowed qualified health practitioners to perform abortions, not just licensed medical doctors.",0.0,1.0,1.0,28.0,,,,
29,Kentucky,2019,"Before 2019, Kentucky law prohibits abortions after week 22, which changed when the state legislature passed a law that moved the prohibition to week 6 in the early part of the year.",0.0,1.0,0.0,29.0,,,,
30,Kentucky,2019,"Kentucky: On June 24, the 2019 trigger law took effect after the ruling for Dobbs v. Jackson Women's Health Organization was delivered. It made all abortions illegal except when medically mandatory to prevent the patient from dying or getting a ""life-sustaining organ"" permanently impaired. Both clinics in the state temporarily stopped providing abortions",0.0,1.0,0.0,30.0,,,,
31,Ohio,2019,"Ohio governor Mike DeWine signs the Human Rights and Heartbeat Protection Act, which bans abortion in the state after an embryonic cardiac activity is detectable. On June 24, 2022, after the Supreme Court of the United States overturned Roe v. Wade, judge Michael R. Barrett lifted a preliminary injunction that had blocked state officials from enforcing the law against certain abortion providers, allowing the Human Rights and Heartbeat Protection Act to take full effect",0.0,1.0,1.0,31.0,,,,
32,Ohio,2020,Ohio: A bill is signed into law requiring all aborted fetal tissue to be cremated or buried,0.0,0.0,0.0,32.0,,,,
33,Ohio,2021,"Lebanon, Ohio, passes an ordinance whereby abortion at all stages of pregnancy was outlawed.",0.0,1.0,0.0,33.0,,,,
34,Ohio,2021,"Mason, Ohio, bans abortion at all stages, but is repealed later that year",0.0,1.0,1.0,34.0,,,,
35,Kentucky,2022,"On April 14, House Bill 3 is passed in Kentucky; it banned all abortions in the state after 15 weeks post-conception and introduced a number of regulations and restrictions, including a prohibition on mailing abortion pills, new systems to certify, monitor and publicly name physicians who conduct abortion procedures, ""dignified care for the terminated remains of pregnancy loss"", and mandatory disclosure of patient information. As the infrastructure was not in place for these new requirements, the two abortion clinics operating in Kentucky shut down, making abortion de facto illegal in the state. In response, abortion-rights activists sued the state to challenge the law, with Planned Parenthood and the ACLU stating that the law unconstitutionally bans abortion by introducing requirements that can't be followed or are too arduous to comply with and that it violates patient privacy protections. The law is blocked in federal court later in 2022",0.0,1.0,1.0,35.0,,,,
36,Kentucky,2022,"Kentucky: On June 30, Jefferson County circuit judge Mitch Perry issues a temporary restraining order blocking the enforcement of Kentucky's abortion-banning trigger law pending further hearings to determine if the ban violates the Kentucky Constitution. This order temporarily allows both of Kentucky's elective abortion providers, which are both located in Louisville, to temporarily resume elective abortions.",0.0,1.0,1.0,36.0,,,,
37,Federal,2022,"Dobbs v. Jackson Women's Health Organization is a decision by the Supreme Court, in which it determined that the Constitution of the United States does not confer any right to abortion, overruling both Roe v. Wade and Planned Parenthood v. Casey.",0.0,0.0,0.0,37.0,,,,
